Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Week_Day
4020332650,4/16/2016 0:00,1,77,77,7
4020332650,5/3/2016 0:00,1,322,332,3
4020332650,5/4/2016 0:00,1,478,536,4
4020332650,5/5/2016 0:00,1,226,248,5
4020332650,5/6/2016 0:00,1,385,408,6
4020332650,5/8/2016 0:00,1,364,402,1
4020332650,5/10/2016 0:00,1,442,494,3
4319703577,4/14/2016 0:00,1,535,557,5
4319703577,4/15/2016 0:00,1,465,491,6
4319703577,4/16/2016 0:00,1,506,522,7
4319703577,4/18/2016 0:00,1,515,551,2
4319703577,4/19/2016 0:00,2,461,498,3
4319703577,4/20/2016 0:00,1,523,543,4
4319703577,4/21/2016 0:00,1,59,65,5
4319703577,4/22/2016 0:00,1,533,550,6
4319703577,4/23/2016 0:00,1,692,722,7
4319703577,4/24/2016 0:00,1,467,501,1
4319703577,4/25/2016 0:00,1,488,506,2
4319703577,4/26/2016 0:00,1,505,516,3
4319703577,4/27/2016 0:00,1,286,307,4
4319703577,4/28/2016 0:00,1,497,522,5
4319703577,4/29/2016 0:00,1,523,546,6
4319703577,4/30/2016 0:00,1,490,516,7
4319703577,5/1/2016 0:00,1,484,500,1
4319703577,5/2/2016 0:00,1,478,506,2
4319703577,5/3/2016 0:00,1,474,512,3
4319703577,5/6/2016 0:00,1,450,491,6
4319703577,5/7/2016 0:00,1,507,530,7
4319703577,5/8/2016 0:00,1,602,638,1
4319703577,5/9/2016 0:00,1,535,565,2
4319703577,5/10/2016 0:00,1,487,517,3
4319703577,5/11/2016 0:00,1,529,558,4
4319703577,5/12/2016 0:00,1,302,321,5
4388161847,4/15/2016 0:00,1,499,526,6
4388161847,4/16/2016 0:00,2,426,448,7
4388161847,4/17/2016 0:00,2,619,641,1
4388161847,4/18/2016 0:00,1,99,104,2
4388161847,4/19/2016 0:00,1,329,338,3
4388161847,4/20/2016 0:00,1,421,451,4
4388161847,4/21/2016 0:00,1,442,458,5
4388161847,4/22/2016 0:00,1,82,85,6
4388161847,4/23/2016 0:00,1,478,501,7
4388161847,4/24/2016 0:00,3,552,595,1
4388161847,4/26/2016 0:00,1,319,346,3
4388161847,4/27/2016 0:00,1,439,500,4
4388161847,4/28/2016 0:00,1,428,458,5
4388161847,4/30/2016 0:00,2,409,430,7
4388161847,5/1/2016 0:00,1,547,597,1
4388161847,5/2/2016 0:00,2,368,376,2
4388161847,5/4/2016 0:00,1,390,414,4
4388161847,5/5/2016 0:00,1,471,495,5
4388161847,5/5/2016 0:00,1,471,495,5
4388161847,5/7/2016 0:00,1,472,496,7
4388161847,5/8/2016 0:00,2,529,541,1
4388161847,5/9/2016 0:00,1,62,65,2
4388161847,5/10/2016 0:00,1,354,375,3
4388161847,5/11/2016 0:00,1,469,494,4
4445114986,4/12/2016 0:00,2,429,457,3
4445114986,4/13/2016 0:00,2,370,406,4
4445114986,4/14/2016 0:00,1,441,492,5
4445114986,4/15/2016 0:00,2,337,379,6
4445114986,4/16/2016 0:00,1,462,499,7
4445114986,4/17/2016 0:00,1,98,107,1
4445114986,4/19/2016 0:00,2,388,424,3
4445114986,4/20/2016 0:00,1,439,462,4
4445114986,4/21/2016 0:00,1,436,469,5
4445114986,4/22/2016 0:00,1,388,417,6
4445114986,4/25/2016 0:00,1,328,345,2
4445114986,4/26/2016 0:00,2,353,391,3
4445114986,4/27/2016 0:00,1,332,374,4
4445114986,4/28/2016 0:00,1,419,442,5
4445114986,4/29/2016 0:00,1,106,108,6
4445114986,4/30/2016 0:00,1,322,353,7
4445114986,5/1/2016 0:00,2,439,459,1
4445114986,5/2/2016 0:00,1,502,542,2
4445114986,5/3/2016 0:00,2,417,450,3
4445114986,5/4/2016 0:00,2,337,363,4
4445114986,5/5/2016 0:00,2,462,513,5
4445114986,5/6/2016 0:00,2,374,402,6
4445114986,5/7/2016 0:00,2,401,436,7
4445114986,5/8/2016 0:00,1,361,391,1
4445114986,5/9/2016 0:00,1,457,533,2
4445114986,5/10/2016 0:00,1,405,426,3
4445114986,5/11/2016 0:00,1,499,530,4
4445114986,5/12/2016 0:00,1,483,501,5
4558609924,4/21/2016 0:00,1,126,137,5
4558609924,4/26/2016 0:00,1,103,121,3
4558609924,4/29/2016 0:00,1,171,179,6
4558609924,5/1/2016 0:00,1,115,129,1
4558609924,5/8/2016 0:00,1,123,134,1
4702921684,4/12/2016 0:00,1,425,439,3
4702921684,4/13/2016 0:00,2,400,430,4
4702921684,4/14/2016 0:00,1,384,415,5
4702921684,4/15/2016 0:00,1,253,257,6
4702921684,4/16/2016 0:00,2,382,406,7
4702921684,4/17/2016 0:00,1,591,612,1
4702921684,4/18/2016 0:00,1,293,312,2
4702921684,4/19/2016 0:00,1,457,487,3
4702921684,4/20/2016 0:00,1,454,468,4
4702921684,4/21/2016 0:00,1,425,434,5
4702921684,4/23/2016 0:00,1,465,475,7
4702921684,4/24/2016 0:00,1,480,506,1
4702921684,4/25/2016 0:00,1,370,380,2
4702921684,4/26/2016 0:00,1,421,429,3
4702921684,4/27/2016 0:00,1,432,449,4
4702921684,4/28/2016 0:00,1,442,461,5
4702921684,4/29/2016 0:00,1,433,447,6
4702921684,4/30/2016 0:00,1,479,501,7
4702921684,5/3/2016 0:00,1,327,373,3
4702921684,5/4/2016 0:00,1,412,434,4
4702921684,5/5/2016 0:00,1,414,428,5
4702921684,5/6/2016 0:00,1,404,449,6
4702921684,5/7/2016 0:00,1,520,543,7
4702921684,5/7/2016 0:00,1,520,543,7
4702921684,5/9/2016 0:00,1,435,458,2
4702921684,5/10/2016 0:00,1,416,431,3
4702921684,5/11/2016 0:00,1,354,366,4
4702921684,5/12/2016 0:00,1,404,442,5
5553957443,4/12/2016 0:00,1,441,464,3
5553957443,4/13/2016 0:00,2,455,488,4
5553957443,4/14/2016 0:00,1,357,418,5
5553957443,4/15/2016 0:00,1,377,409,6
5553957443,4/16/2016 0:00,2,651,686,7
5553957443,4/17/2016 0:00,1,350,402,1
5553957443,4/18/2016 0:00,2,520,541,2
5553957443,4/19/2016 0:00,1,357,410,3
5553957443,4/20/2016 0:00,1,658,678,4
5553957443,4/21/2016 0:00,1,399,431,5
5553957443,4/22/2016 0:00,1,322,353,6
5553957443,4/23/2016 0:00,2,631,725,7
5553957443,4/24/2016 0:00,2,553,640,1
5553957443,4/25/2016 0:00,1,433,468,2
5553957443,4/26/2016 0:00,1,412,453,3
5553957443,4/27/2016 0:00,1,347,391,4
5553957443,4/28/2016 0:00,1,421,457,5
5553957443,4/29/2016 0:00,1,450,495,6
5553957443,4/30/2016 0:00,2,775,843,7
5553957443,5/1/2016 0:00,2,622,686,1
5553957443,5/2/2016 0:00,1,409,471,2
5553957443,5/3/2016 0:00,1,380,429,3
5553957443,5/4/2016 0:00,1,447,470,4
5553957443,5/5/2016 0:00,1,419,464,5
5553957443,5/6/2016 0:00,1,400,434,6
5553957443,5/7/2016 0:00,1,442,470,7
5553957443,5/8/2016 0:00,1,568,608,1
5553957443,5/9/2016 0:00,1,453,494,2
5553957443,5/10/2016 0:00,1,418,443,3
5553957443,5/11/2016 0:00,1,463,486,4
5553957443,5/12/2016 0:00,1,438,475,5
5577150313,4/12/2016 0:00,1,419,438,3
5577150313,4/13/2016 0:00,1,432,458,4
5577150313,4/14/2016 0:00,1,477,497,5
5577150313,4/15/2016 0:00,1,392,413,6
5577150313,4/16/2016 0:00,1,406,445,7
5577150313,4/17/2016 0:00,1,549,583,1
5577150313,4/18/2016 0:00,1,527,553,2
5577150313,4/19/2016 0:00,1,449,465,3
5577150313,4/20/2016 0:00,1,447,480,4
5577150313,4/21/2016 0:00,1,414,437,5
5577150313,4/22/2016 0:00,1,338,366,6
5577150313,4/23/2016 0:00,1,384,402,7
5577150313,4/24/2016 0:00,1,543,615,1
5577150313,4/25/2016 0:00,1,421,461,2
5577150313,4/26/2016 0:00,1,354,377,3
5577150313,4/27/2016 0:00,1,424,452,4
5577150313,4/28/2016 0:00,1,361,372,5
5577150313,4/29/2016 0:00,1,459,485,6
5577150313,4/30/2016 0:00,1,412,433,7
5577150313,5/1/2016 0:00,1,379,398,1
5577150313,5/2/2016 0:00,2,525,553,2
5577150313,5/3/2016 0:00,1,508,543,3
5577150313,5/4/2016 0:00,1,603,634,4
5577150313,5/5/2016 0:00,1,74,78,5
5577150313,5/10/2016 0:00,1,504,562,3
5577150313,5/11/2016 0:00,1,431,476,4
6117666160,4/16/2016 0:00,1,380,398,7
6117666160,4/17/2016 0:00,2,336,350,1
6117666160,4/18/2016 0:00,2,493,510,2
6117666160,4/19/2016 0:00,1,465,492,3
6117666160,4/20/2016 0:00,1,474,502,4
6117666160,4/21/2016 0:00,1,508,550,5
6117666160,4/22/2016 0:00,1,480,546,6
6117666160,4/23/2016 0:00,1,492,539,7
6117666160,4/24/2016 0:00,1,353,367,1
6117666160,4/27/2016 0:00,1,542,557,4
6117666160,4/28/2016 0:00,1,393,416,5
6117666160,4/29/2016 0:00,1,600,636,6
6117666160,5/1/2016 0:00,1,507,575,1
6117666160,5/5/2016 0:00,1,392,415,5
6117666160,5/6/2016 0:00,2,658,698,6
6117666160,5/7/2016 0:00,2,498,507,7
6117666160,5/8/2016 0:00,1,555,603,1
6117666160,5/9/2016 0:00,1,492,522,2
6775888955,4/13/2016 0:00,1,235,260,4
6775888955,4/14/2016 0:00,1,423,441,5
6775888955,4/15/2016 0:00,1,391,406,6
6962181067,4/12/2016 0:00,1,366,387,3
6962181067,4/13/2016 0:00,3,630,679,4
6962181067,4/14/2016 0:00,2,508,535,5
6962181067,4/15/2016 0:00,1,370,386,6
6962181067,4/16/2016 0:00,1,357,366,7
6962181067,4/17/2016 0:00,1,427,446,1
6962181067,4/18/2016 0:00,1,442,458,2
6962181067,4/19/2016 0:00,1,476,535,3
6962181067,4/20/2016 0:00,1,418,424,4
6962181067,4/21/2016 0:00,1,451,457,5
6962181067,4/22/2016 0:00,1,425,435,6
6962181067,4/23/2016 0:00,1,528,546,7
6962181067,4/24/2016 0:00,1,511,514,1
6962181067,4/25/2016 0:00,1,400,415,2
6962181067,4/26/2016 0:00,1,441,446,3
6962181067,4/27/2016 0:00,1,455,467,4
6962181067,4/28/2016 0:00,1,440,453,5
6962181067,4/29/2016 0:00,1,433,447,6
6962181067,4/30/2016 0:00,1,422,424,7
6962181067,5/1/2016 0:00,1,411,426,1
6962181067,5/2/2016 0:00,1,466,482,2
6962181067,5/3/2016 0:00,1,394,418,3
6962181067,5/4/2016 0:00,1,442,455,4
6962181067,5/5/2016 0:00,1,467,491,5
6962181067,5/6/2016 0:00,1,443,462,6
6962181067,5/7/2016 0:00,1,298,334,7
6962181067,5/8/2016 0:00,1,541,569,1
6962181067,5/9/2016 0:00,1,489,497,2
6962181067,5/10/2016 0:00,1,469,481,3
6962181067,5/11/2016 0:00,1,452,480,4
6962181067,5/12/2016 0:00,1,516,535,5
7007744171,4/16/2016 0:00,1,79,82,7
7007744171,5/1/2016 0:00,1,58,61,1
7086361926,4/12/2016 0:00,1,514,525,3
7086361926,4/13/2016 0:00,1,451,465,4
7086361926,4/14/2016 0:00,1,472,476,5
7086361926,4/15/2016 0:00,1,377,386,6
7086361926,4/19/2016 0:00,1,472,483,3
7086361926,4/20/2016 0:00,1,492,502,4
7086361926,4/21/2016 0:00,1,390,411,5
7086361926,4/22/2016 0:00,1,428,448,6
7086361926,4/24/2016 0:00,1,681,704,1
7086361926,4/25/2016 0:00,1,446,447,2
7086361926,4/26/2016 0:00,1,485,500,3
7086361926,4/27/2016 0:00,1,469,479,4
7086361926,4/28/2016 0:00,1,354,367,5
7086361926,4/30/2016 0:00,1,485,489,7
7086361926,5/1/2016 0:00,1,388,407,1
7086361926,5/2/2016 0:00,1,440,459,2
7086361926,5/3/2016 0:00,1,456,461,3
7086361926,5/4/2016 0:00,1,420,436,4
7086361926,5/6/2016 0:00,1,322,333,6
7086361926,5/7/2016 0:00,1,530,548,7
7086361926,5/8/2016 0:00,1,481,510,1
7086361926,5/9/2016 0:00,1,427,438,2
7086361926,5/11/2016 0:00,1,451,463,4
7086361926,5/12/2016 0:00,1,444,457,5
8053475328,4/20/2016 0:00,1,486,493,4
8053475328,4/23/2016 0:00,1,331,337,7
8053475328,5/7/2016 0:00,1,74,75,7
8378563200,4/12/2016 0:00,1,338,356,3
8378563200,4/13/2016 0:00,2,447,487,4
8378563200,4/14/2016 0:00,1,424,455,5
8378563200,4/15/2016 0:00,1,513,533,6
8378563200,4/16/2016 0:00,2,611,689,7
8378563200,4/17/2016 0:00,2,525,591,1
8378563200,4/18/2016 0:00,1,398,451,2
8378563200,4/19/2016 0:00,1,387,421,3
8378563200,4/20/2016 0:00,1,381,409,4
8378563200,4/21/2016 0:00,1,396,417,5
8378563200,4/22/2016 0:00,1,441,469,6
8378563200,4/23/2016 0:00,1,565,591,7
8378563200,4/24/2016 0:00,1,458,492,1
8378563200,4/25/2016 0:00,1,388,402,2
8378563200,4/25/2016 0:00,1,388,402,2
8378563200,4/26/2016 0:00,1,550,584,3
8378563200,4/27/2016 0:00,1,531,600,4
8378563200,4/28/2016 0:00,1,506,556,5
8378563200,4/29/2016 0:00,1,527,562,6
8378563200,4/30/2016 0:00,1,468,555,7
8378563200,5/1/2016 0:00,1,475,539,1
8378563200,5/2/2016 0:00,1,351,385,2
8378563200,5/3/2016 0:00,1,405,429,3
8378563200,5/4/2016 0:00,1,441,477,4
8378563200,5/5/2016 0:00,1,381,417,5
8378563200,5/6/2016 0:00,1,323,355,6
8378563200,5/7/2016 0:00,2,459,513,7
8378563200,5/8/2016 0:00,1,545,606,1
8378563200,5/9/2016 0:00,1,359,399,2
8378563200,5/10/2016 0:00,1,342,391,3
8378563200,5/11/2016 0:00,1,368,387,4
8378563200,5/12/2016 0:00,1,496,546,5
8792009665,4/12/2016 0:00,1,458,493,3
8792009665,4/13/2016 0:00,1,531,552,4
8792009665,4/14/2016 0:00,1,486,503,5
8792009665,4/15/2016 0:00,1,363,377,6
8792009665,4/20/2016 0:00,1,528,547,4
8792009665,4/22/2016 0:00,1,391,407,6
8792009665,4/23/2016 0:00,1,339,360,7
8792009665,4/27/2016 0:00,1,423,428,4
8792009665,4/28/2016 0:00,1,402,416,5
8792009665,4/29/2016 0:00,1,398,406,6
8792009665,4/30/2016 0:00,1,343,360,7
8792009665,5/1/2016 0:00,1,503,527,1
8792009665,5/2/2016 0:00,1,415,423,2
8792009665,5/3/2016 0:00,1,516,545,3
8792009665,5/4/2016 0:00,1,439,463,4
